Filename,Amount,Candidate Name,Support/Oppose,District,State,Purpose,YTD Amount,Election
1762492.fec,39469.09,Kina Collins,Oppose,07,IL,Direct Mail,228990.91,Primary
1777679.fec,38500.0,Sarah Elfreth,Support,03,MD,Direct Mail,1882321.49,Primary
1777679.fec,445069.0,Sarah Elfreth,Support,03,MD,Media Placement,1882321.49,Primary
1777679.fec,37541.8,John Hostettler,Oppose,08,IN,Direct Mail,508056.55,Primary
1768214.fec,160028.0,Sarah Elfreth,Support,03,MD,Media Placement,773961.49,Primary
1768683.fec,50000.0,Sarah Elfreth,Support,03,MD,GOTV Phone Calls,823961.49,Primary
1756487.fec,46113.68,Dave Min,Oppose,47,CA,Direct Mail,1579875.8,Primary
1770189.fec,38500.0,Sarah Elfreth,Support,03,MD,Direct Mail,1334414.49,Primary
1770189.fec,26884.0,Sarah Elfreth,Support,03,MD,Media Placement,1334414.49,Primary
1770189.fec,445069.0,Sarah Elfreth,Support,03,MD,Media Placement,1334414.49,Primary
1759134.fec,23037.34,Dave Min,Oppose,47,CA,Direct Mail,2603034.16,Primary
1759134.fec,23037.34,Joanna Weiss,Support,47,CA,Direct Mail,2603034.16,Primary
1762218.fec,85778.75,Kina Collins,Oppose,07,IL,Media Production/Placement,189521.82,Primary
1762218.fec,60000.0,Kina Collins,Oppose,07,IL,Media Placement,189521.82,Primary
1768213.fec,240509.31,John Hostettler,Oppose,08,IN,Media Production/Placement,240509.31,Primary
1762019.fec,43743.07,Kina Collins,Oppose,07,IL,Direct Mail,43743.07,Primary
1763886.fec,12555.0,Kina Collins,Oppose,07,IL,Media Placement,494453.18,Primary
1760879.fec,46113.68,Dave Min,Oppose,47,CA,Direct Mail,4686928.48,Primary
1756177.fec,10610.34,Dave Min,Oppose,47,CA,Direct Mail,1493762.12,Primary
1756177.fec,100000.0,Dave Min,Oppose,47,CA,Media Placement,1493762.12,Primary
1756177.fec,580000.0,Dave Min,Oppose,47,CA,Media Placement,1493762.12,Primary
1760602.fec,10230.28,Dave Min,Oppose,47,CA,Direct Mail,4640814.8,Primary
1760602.fec,1730000.0,Dave Min,Oppose,47,CA,Media Placement,4640814.8,Primary
1778472.fec,38500.0,Sarah Elfreth,Support,03,MD,Direct Mail,1931448.49,Primary
1778472.fec,10627.0,Sarah Elfreth,Support,03,MD,Media Production/Placement,1931448.49,Primary
1779346.fec,311521.2,John Hostettler,Oppose,08,IN,Media Production/Placement,1163494.02,Primary
1779346.fec,37541.8,John Hostettler,Oppose,08,IN,Direct Mail,1163494.02,Primary
1761150.fec,32899.93,Dave Min,Oppose,47,CA,Direct Mail,4719828.41,Primary
1759977.fec,122000.0,Dave Min,Oppose,47,CA,Media Placement,2854431.84,Primary
1759977.fec,12500.0,Dave Min,Oppose,47,CA,Media Production,2854431.84,Primary
1758741.fec,930859.0,Dave Min,Oppose,47,CA,Media Placement,2556959.48,Primary
1779770.fec,37541.8,John Hostettler,Oppose,08,IN,Direct Mail,1201035.82,Primary
1758220.fec,46224.68,Dave Min,Oppose,47,CA,Direct Mail,1626100.48,Primary
1759717.fec,10000.0,Dave Min,Oppose,47,CA,Media Placement,2613034.16,Primary
1759717.fec,60823.0,Dave Min,Oppose,47,CA,GOTV Phone Calls,2719931.84,Primary
1759717.fec,46074.68,Dave Min,Oppose,47,CA,Direct Mail,2719931.84,Primary
1763583.fec,39469.09,Kina Collins,Oppose,07,IL,Direct Mail,481898.18,Primary
1762645.fec,39469.09,Kina Collins,Oppose,07,IL,Direct Mail,268460.0,Primary
1779769.fec,400867.0,Sarah Elfreth,Support,03,MD,Media Placement,2332315.49,Primary
1760313.fec,46152.68,Dave Min,Oppose,47,CA,Direct Mail,2900584.52,Primary
1771046.fec,25838.0,Sarah Elfreth,Support,03,MD,Media Placement,1360252.49,Primary
1771046.fec,230005.44,John Hostettler,Oppose,08,IN,Media Production/Placement,470514.75,Primary
1771046.fec,38500.0,Sarah Elfreth,Support,03,MD,Direct Mail,1398752.49,Primary
1767820.fec,3395.67,Sarah Elfreth,Support,03,MD,Media Production,613933.49,Primary
1767820.fec,10537.82,Sarah Elfreth,Support,03,MD,Media Production,613933.49,Primary
1767820.fec,600000.0,Sarah Elfreth,Support,03,MD,Media Placement,613933.49,Primary
1763171.fec,38969.09,Kina Collins,Oppose,07,IL,Direct Mail,307429.09,Primary
1756486.fec,40000.0,Joanna Weiss,Support,47,CA,GOTV Phone Calls,1533762.12,Primary
1778471.fec,268832.67,John Hostettler,Oppose,08,IN,Media Placement,776889.22,Primary
1778471.fec,37541.8,John Hostettler,Oppose,08,IN,Direct Mail,814431.02,Primary
1763365.fec,75000.0,Kina Collins,Oppose,07,IL,Media Production/Placement,442429.09,Primary
1763365.fec,60000.0,Kina Collins,Oppose,07,IL,Media Placement,442429.09,Primary
