Filename,Amount,Candidate Name,Support/Oppose,District,State,Purpose,YTD Amount,Election
1785628.fec,167010.0,Thomas Massie,Oppose,04,KY,Media Production/Placement,167010.0,General
1785626.fec,47201.47,Jamaal Bowman,Oppose,16,NY,Direct Mail,2200186.87,Primary
1785626.fec,4200.0,Jamaal Bowman,Oppose,16,NY,Phone Banking,2200186.87,Primary
1785626.fec,105194.72,George Latimer,Support,16,NY,Media Production,4813616.55,Primary
1785626.fec,1176637.0,George Latimer,Support,16,NY,Media Placement,4813616.55,Primary
1785626.fec,47201.47,Jamaal Bowman,Oppose,16,NY,Direct Mail,4813616.55,Primary
1785626.fec,1176637.0,Jamaal Bowman,Oppose,16,NY,Media Placement,4813616.55,Primary
1785626.fec,107759.49,Jamaal Bowman,Oppose,16,NY,Media Production,4813616.55,Primary
1785627.fec,15539.54,Brandon Herrera,Oppose,23,TX,Direct Mail,1045744.42,General
1785627.fec,15539.54,Brandon Herrera,Oppose,23,TX,Direct Mail,1061283.96,General
